filename,path,split,class,label,width,height,aspect_ratio,file_size_kb,mode,format,has_alpha,has_exif,exif_tag_count,camera,r_mean,g_mean,b_mean,r_std,g_std,b_std,brightness,contrast,saturation_mean,saturation_std,color_entropy,blur_score,colorfulness,high_freq_energy
sample_0.jpg,newfinetune2\train\real\sample_0.jpg,train,real,0,1200,1622,0.74,282.3,RGB,JPEG,False,False,,,144.76,77.24,94.29,48.13,52.7,47.05,105.43,44.86,0.5017,0.2192,4.772,809.42,65.37,35770.77
sample_1.jpg,newfinetune2\train\real\sample_1.jpg,train,real,0,115,160,0.719,11.75,RGB,JPEG,False,False,,,77.96,109.08,120.07,67.93,60.73,62.75,102.37,59.1,0.5415,0.2229,7.5427,12077.25,48.85,10956.94
sample_1003.jpg,newfinetune2\train\real\sample_1003.jpg,train,real,0,300,283,1.06,57.69,RGB,JPEG,False,False,,,186.7,186.7,186.7,77.33,77.33,77.33,186.7,77.33,0.0,0.0,6.4177,13608.45,0.0,171857.16
sample_1008.jpg,newfinetune2\train\real\sample_1008.jpg,train,real,0,960,300,3.2,49.15,RGB,JPEG,False,False,,,195.53,183.24,174.19,45.71,51.6,56.52,184.32,50.82,0.1318,0.1372,7.2041,539.56,24.29,33928.43
sample_101.jpg,newfinetune2\train\real\sample_101.jpg,train,real,0,478,359,1.331,62.32,RGB,JPEG,False,False,,,93.23,53.47,43.57,81.82,65.45,59.89,63.42,62.61,0.5663,0.3609,6.955,743.48,84.3,47067.34
sample_1011.jpg,newfinetune2\train\real\sample_1011.jpg,train,real,0,618,449,1.376,60.58,RGB,JPEG,False,False,,,23.02,28.38,64.83,44.33,44.06,47.6,38.75,41.13,0.777,0.3072,6.148,675.92,49.37,54815.0
sample_1012.jpg,newfinetune2\train\real\sample_1012.jpg,train,real,0,600,900,0.667,275.22,RGB,JPEG,False,False,,,157.59,131.7,102.18,64.63,67.21,67.7,130.49,65.01,0.4252,0.235,7.8423,5052.57,45.36,118739.8
sample_1014.jpg,newfinetune2\train\real\sample_1014.jpg,train,real,0,449,750,0.599,126.51,RGB,JPEG,False,False,,,143.6,150.16,153.24,83.9,79.74,83.86,149.0,80.59,0.2164,0.2546,7.4822,1745.51,39.44,74983.25
sample_1018.jpg,newfinetune2\train\real\sample_1018.jpg,train,real,0,620,930,0.667,82.04,RGB,JPEG,False,False,,,176.44,171.29,168.0,81.76,80.22,80.66,171.91,80.26,0.0429,0.1271,5.2222,71.61,24.82,22284.55
sample_102.jpg,newfinetune2\train\real\sample_102.jpg,train,real,0,480,360,1.333,52.92,RGB,JPEG,False,False,,,89.95,65.53,59.32,81.29,70.7,68.64,71.6,72.57,0.3873,0.2999,6.86,1698.57,38.5,40918.54
sample_1022.jpg,newfinetune2\train\real\sample_1022.jpg,train,real,0,1000,1400,0.714,316.71,RGB,JPEG,False,False,,,165.93,172.66,180.88,78.06,64.68,59.75,173.16,64.18,0.2651,0.2881,7.0013,325.77,48.32,43188.2
sample_1029.jpg,newfinetune2\train\real\sample_1029.jpg,train,real,0,462,525,0.88,36.67,RGB,JPEG,False,False,,,208.97,188.45,184.59,47.16,48.29,54.03,194.0,47.44,0.1699,0.193,6.6594,377.71,40.28,30584.65
sample_1036.jpg,newfinetune2\train\real\sample_1036.jpg,train,real,0,480,721,0.666,74.65,RGB,JPEG,False,False,,,47.19,46.73,48.79,84.26,76.63,47.99,47.57,63.83,0.8775,0.2145,6.1256,783.23,62.05,50901.13
sample_104.jpg,newfinetune2\train\real\sample_104.jpg,train,real,0,573,800,0.716,140.71,RGB,JPEG,False,False,,,144.93,135.17,129.05,58.45,57.92,57.81,136.38,57.3,0.1368,0.1382,7.4418,1512.07,24.54,61393.89
sample_1040.jpg,newfinetune2\train\real\sample_1040.jpg,train,real,0,1200,800,1.5,203.6,RGB,JPEG,False,False,,,150.81,148.41,150.14,96.68,95.04,92.49,149.79,94.4,0.1345,0.1767,6.9782,376.57,19.13,35506.7
sample_1041.jpg,newfinetune2\train\real\sample_1041.jpg,train,real,0,1400,1400,1.0,347.92,RGB,JPEG,False,False,,,173.07,138.17,158.32,80.12,94.0,78.56,156.52,76.8,0.3167,0.343,6.9276,379.56,92.88,64557.04
sample_1043.jpg,newfinetune2\train\real\sample_1043.jpg,train,real,0,387,580,0.667,21.92,RGB,JPEG,False,False,,,209.85,206.74,206.76,63.35,65.1,63.48,207.79,63.75,0.0474,0.0983,5.6162,260.4,13.46,25427.81
sample_1048.jpg,newfinetune2\train\real\sample_1048.jpg,train,real,0,1000,698,1.433,176.27,RGB,JPEG,False,False,,,112.66,112.67,112.68,69.78,69.79,69.8,112.67,69.79,0.0001,0.0013,7.3801,1260.51,0.27,50302.87
sample_1050.jpg,newfinetune2\train\real\sample_1050.jpg,train,real,0,1024,1024,1.0,315.24,RGB,JPEG,False,False,,,126.2,119.25,111.7,67.15,64.88,68.61,119.05,64.08,0.1467,0.1884,7.7985,955.67,45.03,73253.71
